id,org,title,filename,local,pages,sizeBytes,sha256,pageRefs,verifiedDate,integrity,sizeMatch,sha256Match,pageCountMatch
AIRBUS_A220_FF_2026,Airbus,A220 Family Facts & Figures,Airbus_A220_Facts_and_Figures_April_2026.pdf,sources/pdfs/Airbus_A220_Facts_and_Figures_April_2026.pdf,4,251736,d1263db3deadb64f7e6e3b24877c664e55614aceec3bf4fe764af5eec7c76ad4,PDF pp. 1-3,2026-07-14,EXACT_MATCH,True,True,True
AIRBUS_A320_FF_2026,Airbus,A320 Family Facts & Figures,Airbus_A320_Family_Facts_and_Figures_April_2026.pdf,sources/pdfs/Airbus_A320_Family_Facts_and_Figures_April_2026.pdf,6,966175,9d43b1086fe205008cf89ddecf92d7fd5ad6e09fa5f0c0d3516fccd6338cf995,PDF pp. 3-5,2026-07-14,EXACT_MATCH,True,True,True
AIRBUS_A330_FF_2026,Airbus,A330 Family Facts & Figures,Airbus_A330_Family_Facts_and_Figures_March_2026.pdf,sources/pdfs/Airbus_A330_Family_Facts_and_Figures_March_2026.pdf,6,249546,b6b514c46f32287c8f21c698093deebb7c11a43846d8cde5d0fb56e0b2a0c98c,PDF pp. 2-5,2026-07-14,EXACT_MATCH,True,True,True
AIRBUS_A350_FF_2026,Airbus,A350 Family Facts & Figures — April 2026,Airbus_A350_Family_Facts_and_Figures_April_2026.pdf,sources/pdfs/Airbus_A350_Family_Facts_and_Figures_April_2026.pdf,5,305153,fbae02f4d8462e591a57611336c7bb58d02fff060defc44ac70af726d09ed668,PDF pp. 3-4,2026-07-14,EXACT_MATCH,True,True,True
AIRBUS_A340_200_300_AC_2025,Airbus,A340-200/-300 Aircraft Characteristics,Airbus_A340-200-300_Aircraft_Characteristics_December_2025.pdf,sources/pdfs/Airbus_A340-200-300_Aircraft_Characteristics_December_2025.pdf,397,8111028,d348009de9d687cdaa9bbeba4919ae337c14263c0149123c21e653217ffcd3ba,PDF pp. 30-52,2026-07-14,EXACT_MATCH,True,True,True
AIRBUS_A340_500_600_AC_2025,Airbus,A340-500/-600 Aircraft Characteristics,Airbus_A340-500-600_Aircraft_Characteristics_December_2025.pdf,sources/pdfs/Airbus_A340-500-600_Aircraft_Characteristics_December_2025.pdf,411,10508107,13e6ae25ab7fa9191432d40dee02b9aefb4bd4799317b5fc9f3e30b6d0b7dd93,PDF pp. 30-61,2026-07-14,EXACT_MATCH,True,True,True
AIRBUS_A350_AC_2025,Airbus,A350 Aircraft Characteristics for Airport Planning,Airbus_A350_Aircraft_Characteristics_July_2025.pdf,sources/pdfs/Airbus_A350_Aircraft_Characteristics_July_2025.pdf,539,46899979,a03ea3616bfce026ba53883bf1d16143770cc6b4352779606379dcce2e8d35e5,PDF pp. 48-54,2026-07-14,EXACT_MATCH,True,True,True
AIRBUS_A380_AC_2025,Airbus,A380 Aircraft Characteristics for Airport Planning,Airbus_A380_Aircraft_Characteristics_December_2025.pdf,sources/pdfs/Airbus_A380_Aircraft_Characteristics_December_2025.pdf,320,10164155,0973c3655f544f92b9a48ec83cc11f9ece7185b7efecb076919611421c59de09,PDF pp. 40-68,2026-07-14,EXACT_MATCH,True,True,True
EASA_B767_ARCHIVE,EASA,TCDSN Boeing 767 - Issue 9,EASA_TCDSN_Boeing_767_Issue_9_April_2013.pdf,sources/pdfs/EASA_TCDSN_Boeing_767_Issue_9_April_2013.pdf,79,298454,db2623748beabf5160a9c7a87394910231c80c011d579e40c934638e1ce993bc,"PDF pp. 1, 3-79",2026-07-14,EXACT_MATCH,True,True,True
EASA_B777_ARCHIVE,EASA,TCDSN Boeing 777 - Issue 12,EASA_TCDSN_Boeing_777_Issue_12_January_2013.pdf,sources/pdfs/EASA_TCDSN_Boeing_777_Issue_12_January_2013.pdf,45,198842,ee41df2f2506e302e28be7a5d6ac08cc661cfb29bff3df2464640e0d1240a9ff,"PDF pp. 1, 3-45",2026-07-14,EXACT_MATCH,True,True,True
EMBRAER_E175_SPEC,Embraer,E175 Technical Specifications,Embraer_E175_Specification.pdf,sources/pdfs/Embraer_E175_Specification.pdf,2,3722120,945308796883d2b58bd91ec122b73769c2c4800cc2a2869253495a60047617b5,PDF p. 2,2026-07-14,EXACT_MATCH,True,True,True
EMBRAER_E175E2_SPEC,Embraer,E175-E2 Technical Specifications,Embraer_E175-E2_Specification.pdf,sources/pdfs/Embraer_E175-E2_Specification.pdf,2,3147735,31e4b7d15bc290f424aa7e0211c5b667c77e2115af5345c5edd8ee6142b5f909,PDF p. 2,2026-07-14,EXACT_MATCH,True,True,True
EMBRAER_E190E2_SPEC,Embraer,E190-E2 Technical Specifications,Embraer_E190-E2_Specification.pdf,sources/pdfs/Embraer_E190-E2_Specification.pdf,2,1602686,f0456551538ebfca736818570a020377faa12d6d328aaeba33854b94e6c3ce4c,PDF p. 2,2026-07-14,EXACT_MATCH,True,True,True
EMBRAER_E195E2_SPEC,Embraer,E195-E2 Technical Specifications,Embraer_E195-E2_Specification.pdf,sources/pdfs/Embraer_E195-E2_Specification.pdf,2,2115525,3057072980230f5e4967bea6dcbcfe2b80058db67f31d95eaffd54c86471cd4a,PDF p. 2,2026-07-14,EXACT_MATCH,True,True,True
EASA_ERJ190_ARCHIVE,EASA,EASA TCDS ERJ 190 - Issue 11,EASA_TCDS_Embraer_ERJ_190_Issue_11_October_2010.pdf,sources/pdfs/EASA_TCDS_Embraer_ERJ_190_Issue_11_October_2010.pdf,18,82196,1c175ba7a444f7787a3d89ebbcb08e8d48d7db2c037c2ce947c414fe9bb41838,PDF pp. 2-8; PDF pp. 14-18,2026-07-14,EXACT_MATCH,True,True,True
COMAC_C909_ACAP,COMAC,C909/ARJ21 Aircraft Characteristics for Airport Planning,COMAC_C909_Airplane_Characteristics_for_Airport_Planning.pdf,sources/pdfs/COMAC_C909_Airplane_Characteristics_for_Airport_Planning.pdf,196,16368662,2201aa2bfa9103b43077b480cd97b174b142812ecfd8b852ade7a7e36e90f7b2,"PDF pp. 15, 19-25; PDF pp. 47-49",2026-07-14,EXACT_MATCH,True,True,True
COMAC_C919_ACAP,COMAC,C919 Aircraft Characteristics for Airport Planning,COMAC_C919_Airplane_Characteristics_for_Airport_Planning_October_2025.pdf,sources/pdfs/COMAC_C919_Airplane_Characteristics_for_Airport_Planning_October_2025.pdf,260,28787931,f610f13bf340954167538efaf928af5d40bedf09b6df4018cef8aa0483caa3cf,PDF pp. 10-45,2026-07-14,EXACT_MATCH,True,True,True
AIRBUS_A220_ACAP_2025,Airbus,A220 Aircraft Characteristics for Airport Planning,Airbus_A220_Aircraft_Characteristics_November_2025.pdf,sources/pdfs/Airbus_A220_Aircraft_Characteristics_November_2025.pdf,650,32733365,ac489084ac6fd0b68f7d8df65bde42f01644442dc6069b9c0562b42bc7ae678b,PDF pp. 147-154,2026-07-14,EXACT_MATCH,True,True,True
AIRBUS_A319_ACAP_2026,Airbus,A319 Aircraft Characteristics for Airport Planning,Airbus_A319_Aircraft_Characteristics_July_2026.pdf,sources/pdfs/Airbus_A319_Aircraft_Characteristics_July_2026.pdf,387,6503918,e766872e4a7555a89d6e7af871484c1f488769280db7fe0d1800ca4f521c93a5,PDF pp. 50-58,2026-07-14,EXACT_MATCH,True,True,True
AIRBUS_A320_ACAP_2026,Airbus,A320 Aircraft Characteristics for Airport Planning,Airbus_A320_Aircraft_Characteristics_July_2026.pdf,sources/pdfs/Airbus_A320_Aircraft_Characteristics_July_2026.pdf,435,7141230,38ea27dbe76b510fb4fc83ae991f81732c5c28b2a29266f145a8356133876831,PDF pp. 58-66,2026-07-14,EXACT_MATCH,True,True,True
AIRBUS_A321_ACAP_2026,Airbus,A321 Aircraft Characteristics for Airport Planning,Airbus_A321_Aircraft_Characteristics_July_2026.pdf,sources/pdfs/Airbus_A321_Aircraft_Characteristics_July_2026.pdf,471,12765980,50ae7a11b9834cbb1b0f8b862fcb6e85aa7817e77596cd12903033e81456d40d,PDF pp. 66-74,2026-07-14,EXACT_MATCH,True,True,True
AIRBUS_A330_ACAP_2025,Airbus,A330 Aircraft Characteristics for Airport Planning,Airbus_A330_Aircraft_Characteristics_December_2025.pdf,sources/pdfs/Airbus_A330_Aircraft_Characteristics_December_2025.pdf,647,14689603,5c250198eb571231abc5460f5ab07b086f394e0384660c8d7e35c32fa21415e1,PDF pp. 59-71,2026-07-14,EXACT_MATCH,True,True,True
AIRBUS_A350F_FF_2026,Airbus,A350F Facts and Figures - April 2026,Airbus_A350F_Facts_and_Figures_April_2026.pdf,sources/pdfs/Airbus_A350F_Facts_and_Figures_April_2026.pdf,3,154842,feef7944699e2555f160137e670494ad85814275fd862624e1724c5729cb114e,PDF pp. 1-3,2026-07-14,EXACT_MATCH,True,True,True
EFW_A320_A321_P2F,Elbe Flugzeugwerke,A320/A321 Passenger-to-Freighter Programme,EFW_A320_A321_P2F_Brochure.pdf,sources/pdfs/EFW_A320_A321_P2F_Brochure.pdf,2,635169,9b5ff3ef72897b593f2de5c1817bbda32122dd94ac4bfa27e319a157925a9a47,PDF p. 2,2026-07-14,EXACT_MATCH,True,True,True
EFW_A330_P2F,Elbe Flugzeugwerke,A330 Passenger-to-Freighter Programme,EFW_A330_P2F_Brochure.pdf,sources/pdfs/EFW_A330_P2F_Brochure.pdf,2,778367,e12379b674f58cf16e72a756da47d43c1b6eff6ba913d18cb7d85c2605a38539,PDF pp. 1-2,2026-07-14,EXACT_MATCH,True,True,True
