id,org,title,issued,type,tier,fields,applies,archive_status,local_pdf_count,local_pdf_files,local_pdf_pages,local_pdf_size_bytes,local_pdf_sha256,official_url,accessed,notes
AIRBUS_A220_FF_2026,Airbus,A220 Family Facts & Figures,2026,OEM publication,A2,seating | range | MTOW | payload | engine,A220-100 | A220-300,local-attached,1,Airbus_A220_Facts_and_Figures_April_2026.pdf,4,251736,d1263db3deadb64f7e6e3b24877c664e55614aceec3bf4fe764af5eec7c76ad4,https://www.airbus.com/en/products-services/commercial-aircraft/passenger-aircraft/a220-family,2026-07-13,Current family-level performance reference.
AIRBUS_A220_ACAP_2025,Airbus,A220 Aircraft Characteristics for Airport Planning,2025,OEM airport planning,A2,dimensions | geometry | airport planning,A220-100 | A220-300,local-attached,1,Airbus_A220_Aircraft_Characteristics_November_2025.pdf,650,32733365,ac489084ac6fd0b68f7d8df65bde42f01644442dc6069b9c0562b42bc7ae678b,https://www.aircraft.airbus.com/en/customer-care/fleet-wide-care/airport-operations-and-aircraft-characteristics,2026-07-13,Geometry and three-view reference.
AIRBUS_A320_FF_2026,Airbus,A320 Family Facts & Figures,2026,OEM publication,A2,seating | range | MTOW | payload | engine | status,A319neo | A320neo | A321neo | A321LR | A321XLR,local-attached,1,Airbus_A320_Family_Facts_and_Figures_April_2026.pdf,6,966175,9d43b1086fe205008cf89ddecf92d7fd5ad6e09fa5f0c0d3516fccd6338cf995,https://www.airbus.com/en/products-services/commercial-aircraft/passenger-aircraft/a320-family,2026-07-13,Variant-consistent family performance reference.
AIRBUS_A319_ACAP_2026,Airbus,A319 Aircraft Characteristics for Airport Planning,2026,OEM airport planning,A2,dimensions | geometry,A319neo,local-attached,1,Airbus_A319_Aircraft_Characteristics_July_2026.pdf,387,6503918,e766872e4a7555a89d6e7af871484c1f488769280db7fe0d1800ca4f521c93a5,https://www.aircraft.airbus.com/en/customer-care/fleet-wide-care/airport-operations-and-aircraft-characteristics,2026-07-13,Current geometry reference.
AIRBUS_A320_ACAP_2026,Airbus,A320 Aircraft Characteristics for Airport Planning,2026,OEM airport planning,A2,dimensions | geometry,A320neo,local-attached,1,Airbus_A320_Aircraft_Characteristics_July_2026.pdf,435,7141230,38ea27dbe76b510fb4fc83ae991f81732c5c28b2a29266f145a8356133876831,https://www.aircraft.airbus.com/en/customer-care/fleet-wide-care/airport-operations-and-aircraft-characteristics,2026-07-13,Current geometry reference.
AIRBUS_A321_ACAP_2026,Airbus,A321 Aircraft Characteristics for Airport Planning,2026,OEM airport planning,A2,dimensions | geometry,A321neo | A321LR | A321XLR | A321P2F,local-attached,1,Airbus_A321_Aircraft_Characteristics_July_2026.pdf,471,12765980,50ae7a11b9834cbb1b0f8b862fcb6e85aa7817e77596cd12903033e81456d40d,https://www.aircraft.airbus.com/en/customer-care/fleet-wide-care/airport-operations-and-aircraft-characteristics,2026-07-13,Current geometry reference.
AIRBUS_A330_FF_2026,Airbus,A330 Family Facts & Figures,2026,OEM publication,A2,seating | range | MTOW | payload | engine | cargo,A330-200 | A330-300 | A330-800 | A330-900 | A330-200F,local-attached,1,Airbus_A330_Family_Facts_and_Figures_March_2026.pdf,6,249546,b6b514c46f32287c8f21c698093deebb7c11a43846d8cde5d0fb56e0b2a0c98c,https://www.airbus.com/en/products-services/commercial-aircraft/passenger-aircraft/a330-family,2026-07-13,Current and legacy family reference.
AIRBUS_A330_ACAP_2025,Airbus,A330 Aircraft Characteristics for Airport Planning,2025,OEM airport planning,A2,dimensions | geometry,A330 family,local-attached,1,Airbus_A330_Aircraft_Characteristics_December_2025.pdf,647,14689603,5c250198eb571231abc5460f5ab07b086f394e0384660c8d7e35c32fa21415e1,https://www.aircraft.airbus.com/en/customer-care/fleet-wide-care/airport-operations-and-aircraft-characteristics,2026-07-13,Geometry and weight-variant reference.
AIRBUS_A340_200_300_AC_2025,Airbus,A340-200/-300 Aircraft Characteristics,2025,OEM airport planning,B1,seating | range | MTOW | dimensions | payload,A340-300,local-attached,1,Airbus_A340-200-300_Aircraft_Characteristics_December_2025.pdf,397,8111028,d348009de9d687cdaa9bbeba4919ae337c14263c0149123c21e653217ffcd3ba,https://www.aircraft.airbus.com/en/customer-care/fleet-wide-care/airport-operations-and-aircraft-characteristics,2026-07-13,Legacy official reference.
AIRBUS_A340_500_600_AC_2025,Airbus,A340-500/-600 Aircraft Characteristics,2025,OEM airport planning,B1,seating | range | MTOW | dimensions | payload,A340-500 | A340-600,local-attached,1,Airbus_A340-500-600_Aircraft_Characteristics_December_2025.pdf,411,10508107,13e6ae25ab7fa9191432d40dee02b9aefb4bd4799317b5fc9f3e30b6d0b7dd93,https://www.aircraft.airbus.com/en/customer-care/fleet-wide-care/airport-operations-and-aircraft-characteristics,2026-07-13,Legacy official reference.
AIRBUS_A350_FF_2026,Airbus,A350 Family Facts & Figures — April 2026,2026-04,OEM publication,A2,seating | range | MTOW | payload | engine | status,A350-900 | A350-900ULR | A350-1000 | A350-1000 HGW (2030) | A350F,local-attached,1,Airbus_A350_Family_Facts_and_Figures_April_2026.pdf,5,305153,fbae02f4d8462e591a57611336c7bb58d02fff060defc44ac70af726d09ed668,https://mediaassets.airbus.com/pm_38_898_898668-3xlxpks93j.pdf?fileName=airbus-a350-family-facts-and-figures-april-2026.pdf,2026-07-13,Separates current and target weight variants.
AIRBUS_A350_AC_2025,Airbus,A350 Aircraft Characteristics for Airport Planning,2025,OEM airport planning,A2,dimensions | geometry | cargo,A350 family,local-attached,1,Airbus_A350_Aircraft_Characteristics_July_2025.pdf,539,46899979,a03ea3616bfce026ba53883bf1d16143770cc6b4352779606379dcce2e8d35e5,https://www.aircraft.airbus.com/en/customer-care/fleet-wide-care/airport-operations-and-aircraft-characteristics,2026-07-13,Geometry and airport-planning reference.
AIRBUS_A380_AC_2025,Airbus,A380 Aircraft Characteristics for Airport Planning,2025,OEM airport planning,B1,seating | range | MTOW | dimensions | cargo,A380-800,local-attached,1,Airbus_A380_Aircraft_Characteristics_December_2025.pdf,320,10164155,0973c3655f544f92b9a48ec83cc11f9ece7185b7efecb076919611421c59de09,https://www.aircraft.airbus.com/en/customer-care/fleet-wide-care/airport-operations-and-aircraft-characteristics,2026-07-13,Legacy official reference.
AIRBUS_CURRENT_LINEUP,Airbus,Commercial Aircraft Current Line-up,2026,OEM web,A2,program status | family scope,Airbus commercial aircraft,external-only,0,,,,,https://www.airbus.com/en/products-services/commercial-aircraft,2026-07-13,Program-status cross-check.
AIRBUS_FREIGHTERS,Airbus,Airbus Freighter Aircraft Portfolio,2026,OEM web,A2,payload class | range | status,A321P2F | A330-200F | A330P2F | A350F,local-attached,1,Airbus_A350F_Facts_and_Figures_April_2026.pdf,3,154842,feef7944699e2555f160137e670494ad85814275fd862624e1724c5729cb114e,https://www.aircraft.airbus.com/en/aircraft/freighters,2026-07-13,Freighter portfolio reference.
EFW_A320_A321_P2F,Elbe Flugzeugwerke,A320/A321 Passenger-to-Freighter Programme,2025,OEM/JV brochure,A2,payload | range | cargo volume | status,A321P2F,local-attached,1,EFW_A320_A321_P2F_Brochure.pdf,2,635169,9b5ff3ef72897b593f2de5c1817bbda32122dd94ac4bfa27e319a157925a9a47,https://www.elbeflugzeugwerke.com/en/freighter-conversion/a321p2f/,2026-07-13,Conversion configuration and payload-range envelope.
EFW_A330_P2F,Elbe Flugzeugwerke,A330 Passenger-to-Freighter Programme,2025,OEM/JV brochure,A2,payload | range | cargo volume,A330-300P2F,local-attached,1,EFW_A330_P2F_Brochure.pdf,2,778367,e12379b674f58cf16e72a756da47d43c1b6eff6ba913d18cb7d85c2605a38539,https://www.elbeflugzeugwerke.com/en/freighter-conversion/a330p2f/,2026-07-13,Conversion programme reference.
BOEING_PLAN_MANUALS,Boeing,Commercial Airplanes Airport Planning Manuals,2026,OEM airport planning,A2,dimensions | weights | airport planning | 3-view geometry,Boeing commercial aircraft,external-only,0,,,,,https://www.boeing.com/commercial/airports/plan-manuals,2026-07-13,Geometry and configuration-class cross-check.
BOEING_737_MAX,Boeing,737 MAX Technical Specifications,2026,OEM web,A2,seating | range | MTOW | dimensions | status,737-7 | 737-8 | 737-8-200 | 737-9 | 737-10,external-only,0,,,,,https://www.boeing.com/commercial/737max,2026-07-13,Current family product page.
BOEING_737_NG,Boeing,Next-Generation 737 Technical Specifications,2026,OEM web,B1,seating | range | MTOW | dimensions,737-700 | 737-800 | 737-900ER,external-only,0,,,,,https://www.boeing.com/commercial/737ng,2026-07-13,Legacy family product page.
BOEING_787,Boeing,787 Dreamliner Family,2026,OEM web,A2,seating | range | dimensions | status,787-8 | 787-9 | 787-10,external-only,0,,,,,https://www.boeing.com/commercial/787,2026-07-13,Current product page.
BOEING_787_IMTOW_2026,Boeing,FAA Clears Higher Takeoff Weight for 787-9 and 787-10,2026-03-23,OEM web,A2,MTOW | range impact | certification status,787-9 iMTOW | 787-10 iMTOW,external-only,0,,,,,https://www.boeing.com/features/2026/03/faa-clears-higher-takeoff-weight-for-787-9-and-787-10,2026-07-13,Current increased-MTOW values.
BOEING_777,Boeing,777 Design Highlights and Technical Characteristics,2026,OEM web,B1,seating | range | MTOW | dimensions | payload,777-200ER | 777-200LR | 777-300ER | 777F,external-only,0,,,,,https://www.boeing.com/commercial/777/design-highlights,2026-07-13,Legacy 777 family reference.
BOEING_777X,Boeing,777X Technical Specifications,2026,OEM web,A2,seating | range | MTOW | dimensions | status,777-8 | 777-9 | 777-8F,external-only,0,,,,,https://www.boeing.com/commercial/777x,2026-07-13,Development programme values remain subject to change.
BOEING_767F,Boeing,767-300 Freighter Technical Characteristics,2026,OEM web,B1,payload | range | dimensions | MTOW,767-300F | 767-300ER | 767-400ER,external-only,0,,,,,https://www.boeing.com/commercial/freighters/767-300f,2026-07-13,Freighter page plus family geometry references.
BOEING_FREIGHTERS,Boeing,Boeing Freighters Portfolio,2026,OEM web,A2,programme scope | payload class | status,737-800BCF | 767-300F | 777F | 777-8F | 747-8F,external-only,0,,,,,https://www.boeing.com/commercial/freighters,2026-07-13,Portfolio/programme reference.
BOEING_747_8,Boeing,747-8 Programme Page,2026,OEM web,B1,programme status | family scope | dimensions,747-8I | 747-8F,external-only,0,,,,,https://www.boeing.com/commercial/747-8,2026-07-13,Production ended; support continues.
BOEING_737_BCF,Boeing,737-800 Boeing Converted Freighter,2016,OEM brochure,B1,payload | MTOW | range | cargo volume,737-800BCF,external-only,0,,,,,https://www.boeing.com/content/dam/boeing/boeingdotcom/commercial/services/assets/brochure/737_800BCF.pdf,2026-07-13,Legacy official conversion brochure.
EASA_B737_CURRENT,EASA,EASA.IM.A.120 — Boeing 737,2026-06-24,Regulator web,A1,certification status | model coverage,737 family,external-only,0,,,,,https://www.easa.europa.eu/en/document-library/type-certificates/noise/easaima120-boeing-737,2026-07-13,Current regulator issue index.
EASA_B787_CURRENT,EASA,EASA.IM.A.115 — Boeing 787,2026,Regulator web,A1,certification status | model coverage,787 family,external-only,0,,,,,https://www.easa.europa.eu/en/document-library/type-certificates/easaima115-boeing-787,2026-07-13,Current regulator index.
EASA_B777_CURRENT,EASA,EASA.IM.A.003 — Boeing 777,2026,Regulator web,A1,certification status | model coverage,777 family,local-attached,1,EASA_TCDSN_Boeing_777_Issue_12_January_2013.pdf,45,198842,ee41df2f2506e302e28be7a5d6ac08cc661cfb29bff3df2464640e0d1240a9ff,https://www.easa.europa.eu/en/document-library/type-certificates/easaima003-boeing-777,2026-07-13,Current regulator index.
EASA_B767_CURRENT,EASA,EASA.IM.A.035 — Boeing 767,2026,Regulator web,A1,certification status | model coverage,767 family,local-attached,1,EASA_TCDSN_Boeing_767_Issue_9_April_2013.pdf,79,298454,db2623748beabf5160a9c7a87394910231c80c011d579e40c934638e1ce993bc,https://www.easa.europa.eu/en/document-library/type-certificates/easaima035-boeing-767,2026-07-13,Current regulator index.
EASA_B747_CURRENT,EASA,EASA.IM.A.196 — Boeing 747,2026,Regulator web,A1,certification status | model coverage,747 family,external-only,0,,,,,https://www.easa.europa.eu/en/document-library/type-certificates/easaima196-boeing-747,2026-07-13,Current regulator index.
EASA_ERJ170_CURRENT_PDF,EASA,ERJ-170 Type Certificate Data Sheet,2026,Regulator PDF,A1,max seats | MTOW | dimensions | engine | model coverage,E170 | E175,external-only,0,,,,,https://www.easa.europa.eu/en/downloads/7525/en,2026-07-13,Used to keep E170 and E175 geometry/weights separate.
EASA_ERJ190_CURRENT_PDF,EASA,ERJ-190 Type Certificate Data Sheet,2026,Regulator PDF,A1,weights | dimensions | model coverage,E190 | E195 | E190-E2 | E195-E2,local-attached,1,EASA_TCDS_Embraer_ERJ_190_Issue_11_October_2010.pdf,18,82196,1c175ba7a444f7787a3d89ebbcb08e8d48d7db2c037c2ce947c414fe9bb41838,https://www.easa.europa.eu/en/document-library/type-certificates/easaima071-embraer-erj-190,2026-07-13,Current issue cross-check.
EMBRAER_E170_SPEC,Embraer,E170 Legacy Technical Specifications,2025,OEM specification,B1,seating | range | payload | status,E170,external-only,0,,,,,https://www.embraercommercialaviation.com/commercial-jets/e-jets/,2026-07-13,Legacy product specification.
EMBRAER_E175_SPEC,Embraer,E175 Technical Specifications,2025,OEM specification,A2,seating | range | payload | status,E175,local-attached,1,Embraer_E175_Specification.pdf,2,3722120,945308796883d2b58bd91ec122b73769c2c4800cc2a2869253495a60047617b5,https://www.embraercommercialaviation.com/commercial-jets/e-jets/,2026-07-13,Primary E175 specification.
EMBRAER_E190E1_SPEC,Embraer,E190 E1 Technical Specifications,2025,OEM specification,B1,seating | range | payload | status,E190 (E1),external-only,0,,,,,https://www.embraercommercialaviation.com/commercial-jets/e-jets/,2026-07-13,Legacy official specification.
EMBRAER_E195E1_SPEC,Embraer,E195 E1 Technical Specifications,2025,OEM specification,B1,seating | range | payload | status,E195 (E1),external-only,0,,,,,https://www.embraercommercialaviation.com/commercial-jets/e-jets/,2026-07-13,Legacy official specification.
EMBRAER_E175E2_SPEC,Embraer,E175-E2 Technical Specifications,2025,OEM specification,A2,seating | range | MTOW | dimensions | payload | status,E175-E2,local-attached,1,Embraer_E175-E2_Specification.pdf,2,3147735,31e4b7d15bc290f424aa7e0211c5b667c77e2115af5345c5edd8ee6142b5f909,https://www.embraercommercialaviation.com/commercial-jets/e-jets-e2/,2026-07-13,Development/target specification.
EMBRAER_E190E2_SPEC,Embraer,E190-E2 Technical Specifications,2025,OEM specification,A2,seating | range | MTOW | dimensions | payload,E190-E2,local-attached,1,Embraer_E190-E2_Specification.pdf,2,1602686,f0456551538ebfca736818570a020377faa12d6d328aaeba33854b94e6c3ce4c,https://www.embraercommercialaviation.com/commercial-jets/e-jets-e2/,2026-07-13,Current official specification.
EMBRAER_E195E2_SPEC,Embraer,E195-E2 Technical Specifications,2025,OEM specification,A2,seating | range | MTOW | dimensions | payload,E195-E2,local-attached,1,Embraer_E195-E2_Specification.pdf,2,2115525,3057072980230f5e4967bea6dcbcfe2b80058db67f31d95eaffd54c86471cd4a,https://www.embraercommercialaviation.com/commercial-jets/e-jets-e2/,2026-07-13,Current official specification.
EMBRAER_MARKET_OUTLOOK_2025,Embraer,Market Outlook 2025,2025,OEM market outlook,A2,market segment | fleet demand,Up to 150-seat market,external-only,0,,,,,https://www.embraercommercialaviation.com/market-outlook/,2026-07-13,Market context only; not a primary specification source.
COMAC_C909_PAGE,COMAC,C909 Official Product Page,2026,OEM web,A2,seating | range | MTOW | dimensions | status,C909,local-attached,1,COMAC_C909_Airplane_Characteristics_for_Airport_Planning.pdf,196,16368662,2201aa2bfa9103b43077b480cd97b174b142812ecfd8b852ade7a7e36e90f7b2,http://english.comac.cc/products/rj/,2026-07-13,Official programme page.
COMAC_C919_PAGE,COMAC,C919 Official Product Page,2026,OEM web,A2,seating | range | status,C919,external-only,0,,,,,http://english.comac.cc/products/ca/,2026-07-13,Current product/programme page.
COMAC_C919_ACAP,COMAC,C919 Aircraft Characteristics for Airport Planning,2025,OEM airport planning,A2,MTOW | dimensions | geometry | payload,C919,local-attached,1,COMAC_C919_Airplane_Characteristics_for_Airport_Planning_October_2025.pdf,260,28787931,f610f13bf340954167538efaf928af5d40bedf09b6df4018cef8aa0483caa3cf,http://english.comac.cc/products/ca/,2026-07-13,Current ACAP revision.
COMAC_C929_PAGE,COMAC,C929 Official Product Page,2026,OEM web,A2,seating | programme status,C929,external-only,0,,,,,http://english.comac.cc/products/wb/,2026-07-13,Current page publishes seating envelope but not frozen MTOW/range/dimensions.
UAC_SSJ100_PAGE,United Aircraft Corporation,Superjet 100 Official Product Specifications,2026,OEM web,B1,seating | range | MTOW | dimensions,Superjet 100,external-only,0,,,,,https://uacrussia.ru/en/aircraft/lineup/lineup/superjet-100/,2026-07-13,Legacy programme reference.
UAC_SJ100_PAGE,United Aircraft Corporation,SJ-100 Programme Page,2026,OEM web,A2,seating | range | MTOW | dimensions | status,SJ-100,external-only,0,,,,,https://uacrussia.ru/en/aircraft/lineup/civil/sj-100/,2026-07-13,Development programme values.
UAC_MC21_PAGE,United Aircraft Corporation,MC-21 Official Product Specifications,2026,OEM web,A2,seating | range | MTOW | dimensions | status,MC-21-310,external-only,0,,,,,https://uacrussia.ru/en/aircraft/lineup/civil/ms-21/,2026-07-13,Official product specification.
ATR_42_600,ATR,ATR 42-600 Official Product Specifications,2026,OEM web,A2,seating | range | MTOW | dimensions | payload,ATR 42-600,external-only,0,,,,,https://www.atr-aircraft.com/aircraft-services/aircraft-family/atr-42-600/,2026-07-13,Current official product page.
ATR_72_600,ATR,ATR 72-600 Official Product Specifications,2026,OEM web,A2,seating | range | MTOW | dimensions | payload,ATR 72-600,external-only,0,,,,,https://www.atr-aircraft.com/aircraft-services/aircraft-family/atr-72-600/,2026-07-13,Current official product page.
ATR_72_600F,ATR,ATR 72-600F Official Product Specifications,2026,OEM web,A2,range | MTOW | dimensions | payload | cargo volume,ATR 72-600F,external-only,0,,,,,https://www.atr-aircraft.com/aircraft-services/aircraft-family/atr-72-600f-freighter/,2026-07-13,Current official freighter page.
FAA_TC_DATA_INDEX,FAA,FAA Type Certificate Data Sheet Index,2026,Regulator index,A1,certification cross-check,US-certified commercial aircraft,external-only,0,,,,,https://drs.faa.gov/browse/TCDSMODEL/doctypeDetails,2026-07-13,Regulator cross-check index.
BOEING_2026Q1_RESULTS,Boeing,Boeing First Quarter 2026 Results,2026-04-22,OEM investor release,A2,777-9 status | 787 iMTOW status,777-9 | 787-9 iMTOW | 787-10 iMTOW,external-only,0,,,,,https://investors.boeing.com/investors/news/press-release-details/2026/Boeing-Reports-First-Quarter-Results/default.aspx,2026-07-13,Programme status cross-check.
